Fund Holdings as of,"2026/08/21"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"268A","RIGAKU HOLDINGS","Information Technology","Equity","1,379,276.05","0.02","1,379,276.05","123,900.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6284","NISSEI ASB MACHINE LTD","Industrials","Equity","1,372,602.13","0.02","1,372,602.13","24,700.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"DDD","3D SYSTEMS CORP","Industrials","Equity","1,344,237.99","0.02","1,344,237.99","425,908.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"7715","NAGANO KEIKI LTD","Information Technology","Equity","1,230,781.41","0.02","1,230,781.41","50,800.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"HDD","HEIDELBERGER DRUCKMASCHINEN AG","Industrials","Equity","1,213,540.46","0.02","1,213,540.46","740,477.00","-","Germany","Xetra","JPY","-","EUR"
"3687","FIXSTARS CORP","Information Technology","Equity","1,202,973.42","0.02","1,202,973.42","87,900.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"3673","BROADLEAF LTD","Information Technology","Equity","1,201,304.95","0.02","1,201,304.95","392,000.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"HY","HYSTER YALE INC CLASS A","Industrials","Equity","1,166,823.04","0.02","1,166,823.04","35,471.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"HSBFT","CASH COLLATERAL USD HSBFT","Cash and/or Derivatives","Cash Collateral and Margins","1,108,982.44","0.02","1,108,982.44","1,110,000.00","-","United States","-","JPY","-","USD"
"6202","HOLTEK SEMICONDUCTOR INC","Information Technology","Equity","1,082,842.93","0.02","1,082,842.93","605,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","1,001,087.45","0.02","1,001,087.45","734,954.00","-","United Kingdom","-","JPY","-","GBP"
"388720","YUILRBOTICS LTD","Industrials","Equity","966,049.39","0.02","966,049.39","19,154.00","-","Korea (South)","Korea Exchange (Kosdaq)","JPY","-","KRW"
"6877","OBARA GROUP INC","Industrials","Equity","883,181.60","0.02","883,181.60","23,900.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6706","FITTECH LTD","Information Technology","Equity","800,313.80","0.01","800,313.80","219,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"PACK","RANPAK HOLDINGS CORP CLASS A","Materials","Equity","694,087.30","0.01","694,087.30","137,592.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"232140","YC CORP","Information Technology","Equity","694,087.30","0.01","694,087.30","90,919.00","-","Korea (South)","Korea Exchange (Kosdaq)","JPY","-","KRW"
